City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised,13353.92218,,
,,,,Cherokee County,,,,,Waleska,GA,,905,,5583,5.583,,90.5
,,,,Bartow County,,,,,White,GA,,505,,6663,6.663,,50.5
,,,,Carroll County,,,,,Whitesburg,GA,,717,,4226,4.226,,71.7
,,,,Douglas County,,,,,Winston,GA,,800,,8174,8.174,,80
,,,,Cherokee County,,,,,Woodstock,GA,,4898,,61885,61.885,,489.8
,,,,Cherokee County,,,,,Woodstock,GA,,2588,,37078,37.078,,258.8
,,,,Lamar County,,,,,Barnesville,GA,,2553,,12714,12.714,,255.3
,,,,Fayette County,,,,,Brooks,GA,,121,,3041,3.041,,12.1
,,,,Pike County,,,,,Concord,GA,,289,,3568,3.568,,28.9
,,,,Fulton County,,,,,Fairburn,GA,,2914,,31239,31.239,,291.4
,,,,Fayette County,,,,,Fayetteville,GA,,2927,,28774,28.774,,292.7
,,,,Fayette County,,,,,Fayetteville,GA,,1213,,36354,36.354,,121.3
,,,,Butts County,,,,,Flovilla,GA,,637,,2448,2.448,,63.7
,,,,Meriwether County,,,,,Gay,GA,,110,,1433,1.433,,11
,,,,Coweta County,,,,,Grantville,GA,,684,,5266,5.266,,68.4
,,,,Meriwether County,,,,,Greenville,GA,,719,,3824,3.824,,71.9
,,,,Spalding County,,,,,Griffin,GA,,8741,,36737,36.737,,874.1
,,,,Spalding County,,,,,Griffin,GA,,4049,,24140,24.14,,404.9
,,,,Henry County,,,,,Hampton,GA,,6559,,40782,40.782,,655.9
,,,,Troup County,,,,,Hogansville,GA,,1900,,9305,9.305,,190
,,,,Butts County,,,,,Jackson,GA,,4262,,22839,22.839,,426.2
,,,,Butts County,,,,,Jenkinsburg,GA,,482,,1890,1.89,,48.2
,,,,Clayton County,,,,,Jonesboro,GA,,10705,,47188,47.188,,1070.5
,,,,Clayton County,,,,,Jonesboro,GA,,9808,,38173,38.173,,980.8
,,,,Troup County,,,,,Lagrange,GA,,5880,,30220,30.22,,588
,,,,Troup County,,,,,Lagrange,GA,,5704,,24199,24.199,,570.4
,,,,Henry County,,,,,Locust Grove,GA,,2968,,24744,24.744,,296.8
,,,,Meriwether County,,,,,Luthersville,GA,,603,,2240,2.24,,60.3
,,,,Henry County,,,,,McDonough,GA,,2789,,44728,44.728,,278.9
,,,,Henry County,,,,,McDonough,GA,,6213,,53647,53.647,,621.3
,,,,Pike County,,,,,Meansville,GA,,359,,2540,2.54,,35.9
,,,,Lamar County,,,,,Milner,GA,,747,,4740,4.74,,74.7
,,,,Pike County,,,,,Molena,GA,,238,,2542,2.542,,23.8
,,,,Coweta County,,,,,Moreland,GA,,256,,2653,2.653,,25.6
,,,,Clayton County,,,,,Morrow,GA,,4350,,26395,26.395,,435
,,,,Coweta County,,,,,Newnan,GA,,9628,,57226,57.226,,962.8
,,,,Coweta County,,,,,Newnan,GA,,2732,,34766,34.766,,273.2
,,,,Fulton County,,,,,Palmetto,GA,,1795,,10425,10.425,,179.5
,,,,Fayette County,,,,,Peachtree City,GA,,2155,,35760,35.76,,215.5
,,,,Clayton County,,,,,Rex,GA,,2157,,14730,14.73,,215.7
,,,,Clayton County,,,,,Riverdale,GA,,7909,,35558,35.558,,790.9
,,,,Coweta County,,,,,Senoia,GA,,1038,,14763,14.763,,103.8
,,,,Coweta County,,,,,Sharpsburg,GA,,1204,,22262,22.262,,120.4
,,,,Henry County,,,,,Stockbridge,GA,,10388,,69320,69.32,,1038.8
,,,,Upson County,,,,,Thomaston,GA,,5422,,22739,22.739,,542.2
,,,,Dekalb County,,,,,Conley,GA,,1085,,9467,9.467,,108.5
,,,,Fayette County,,,,,Tyrone,GA,,804,,8801,8.801,,80.4
,,,,Fulton County,,,,,Union City,GA,,4947,,21121,21.121,,494.7
,,,,Pike County,,,,,Williamson,GA,,693,,6332,6.332,,69.3
,,,,Meriwether County,,,,,Woodbury,GA,,435,,3138,3.138,,43.5
,,,,Dekalb County,,,,,Conley,GA,,4093,,40932,40.932,,409.3
,,,,Pike County,,,,,Zebulon,GA,,764,,4225,4.225,,76.4
,,,,Clayton County,,,,,Riverdale,GA,,4646,,28467,28.467,,464.6
,,,,Fulton County,,,,,Atlanta,GA,,1535,,23842,23.842,,153.5
,,,,Fulton County,,,,,Atlanta,GA,,2131,,23299,23.299,,213.1
,,,,Fulton County,,,,,Atlanta,GA,,2167,,19781,19.781,,216.7
,,,,Fulton County,,,,,Atlanta,GA,,3327,,17559,17.559,,332.7
,,,,Fulton County,,,,,Atlanta,GA,,2097,,23458,23.458,,209.7
,,,,Fulton County,,,,,Atlanta,GA,,5613,,21731,21.731,,561.3
,,,,Fulton County,,,,,Atlanta,GA,,1986,,11379,11.379,,198.6
,,,,Fulton County,,,,,Atlanta,GA,,4948,,33286,33.286,,494.8
,,,,Fulton County,,,,,Atlanta,GA,,2176,,13936,13.936,,217.6
,,,,Dekalb County,,,,,Brookhaven,GA,,3564,,40602,40.602,,356.4
,,,,Fulton County,,,,,Atlanta,GA,,3417,,26521,26.521,,341.7
,,,,Fulton County,,,,,Atlanta,GA,,501,,5652,5.652,,50.1
,,,,Fulton County,,,,,Atlanta,GA,,1046,,23333,23.333,,104.6
,,,,Fulton County,,,,,Sandy Springs,GA,,3167,,36590,36.59,,316.7
,,,,Dekalb County,,,,,North Druid Hills,GA,,6153,,28410,28.41,,615.3
,,,,Fulton County,,,,,Atlanta,GA,,15124,,64652,64.652,,1512.4
,,,,Fulton County,,,,,College Park,GA,,4744,,13781,13.781,,474.4
,,,,Dekalb County,,,,,Dunwoody,GA,,2058,,34560,34.56,,205.8
,,,,Cobb County,,,,,Vinings,GA,,1536,,22163,22.163,,153.6
,,,,Dekalb County,,,,,Chamblee,GA,,6404,,32680,32.68,,640.4
,,,,Fulton County,,,,,Sandy Springs,GA,,3154,,29218,29.218,,315.4
,,,,Dekalb County,,,,,Chamblee,GA,,4761,,25831,25.831,,476.1
,,,,Clayton County,,,,,Riverdale,GA,,12650,,73310,73.31,,1265
,,,,Fulton County,,,,,Sandy Springs,GA,,5203,,38840,38.84,,520.3
,,,,Dekalb County,,,,,Dunwoody,GA,,2301,,15997,15.997,,230.1
,,,,Fulton County,,,,,Atlanta,GA,,881,,3165,3.165,,88.1
,,,,Bulloch County,,,,,Brooklet,GA,,1083,,6489,6.489,,108.3
,,,,Tattnall County,,,,,Collins,GA,,682,,3566,3.566,,68.2
,,,,Toombs County,,,,,Lyons,GA,,3351,,11699,11.699,,335.1
,,,,Bulloch County,,,,,Statesboro,GA,,15323,,43445,43.445,,1532.3
,,,,Bulloch County,,,,,Statesboro,GA,,2132,,14105,14.105,,213.2
,,,,Toombs County,,,,,Vidalia,GA,,3660,,17397,17.397,,366
,,,,Hall County,,,,,Gainesville,GA,,8635,,28925,28.925,,863.5
,,,,Hall County,,,,,Gainesville,GA,,6091,,25466,25.466,,609.1
,,,,Hall County,,,,,Gainesville,GA,,3483,,43738,43.738,,348.3
,,,,Habersham County,,,,,Alto,GA,,1416,,8615,8.615,,141.6
,,,,Banks County,,,,,Baldwin,GA,,519,,4091,4.091,,51.9
,,,,Union County,,,,,Blairsville,GA,,2410,,20299,20.299,,241
,,,,Fannin County,,,,,Blue Ridge,GA,,1896,,11704,11.704,,189.6
,,,,Jackson County,,,,,Braselton,GA,,1517,,13366,13.366,,151.7
,,,,Gwinnett County,,,,,Sugar Hill,GA,,5381,,50519,50.519,,538.1
,,,,Gwinnett County,,,,,Buford,GA,,2317,,45736,45.736,,231.7
,,,,Franklin County,,,,,Canon,GA,,1305,,4781,4.781,,130.5
,,,,Franklin County,,,,,Carnesville,GA,,1118,,5271,5.271,,111.8
,,,,Gilmer County,,,,,Cherrylog,GA,,207,,870,0.87,,20.7
,,,,Habersham County,,,,,Clarkesville,GA,,1562,,12288,12.288,,156.2
,,,,Rabun County,,,,,Clayton,GA,,1224,,7105,7.105,,122.4
,,,,Hall County,,,,,Clermont,GA,,521,,4527,4.527,,52.1
,,,,White County,,,,,Cleveland,GA,,4536,,24135,24.135,,453.6
,,,,Jackson County,,,,,Commerce,GA,,1840,,10766,10.766,,184
,,,,Jackson County,,,,,Commerce,GA,,1102,,6324,6.324,,110.2
,,,,Habersham County,,,,,Cornelia,GA,,2399,,10510,10.51,,239.9
,,,,Lumpkin County,,,,,Dahlonega,GA,,4926,,26412,26.412,,492.6
,,,,Dawson County,,,,,Dawsonville,GA,,3855,,28586,28.586,,385.5
,,,,Habersham County,,,,,Demorest,GA,,1322,,7884,7.884,,132.2
,,,,Gilmer County,,,,,Ellijay,GA,,1093,,7960,7.96,,109.3
,,,,Rabun County,,,,,Sky Valley,GA,,277,,1469,1.469,,27.7
,,,,Stephens County,,,,,Eastanollee,GA,,194,,2496,2.496,,19.4
,,,,Gilmer County,,,,,Ellijay,GA,,3980,,19608,19.608,,398
,,,,Hall County,,,,,Flowery Branch,GA,,3140,,35973,35.973,,314
,,,,White County,,,,,Helen,GA,,93,,713,0.713,,9.3
,,,,Towns County,,,,,Hiawassee,GA,,729,,6670,6.67,,72.9
,,,,Banks County,,,,,Homer,GA,,404,,3065,3.065,,40.4
,,,,Jackson County,,,,,Hoschton,GA,,998,,18202,18.202,,99.8
,,,,Jackson County,,,,,Jefferson,GA,,2240,,24132,24.132,,224
,,,,Rabun County,,,,,Lakemont,GA,,496,,1761,1.761,,49.6
,,,,Franklin County,,,,,Lavonia,GA,,1533,,7907,7.907,,153.3
,,,,Hall County,,,,,Lula,GA,,1000,,7486,7.486,,100
,,,,Fannin County,,,,,McCaysville,GA,,401,,2312,2.312,,40.1
,,,,Franklin County,,,,,Martin,GA,,986,,4432,4.432,,98.6
,,,,Banks County,,,,,Maysville,GA,,1215,,5761,5.761,,121.5
,,,,Fannin County,,,,,Mineral Bluff,GA,,767,,4714,4.714,,76.7
,,,,Fannin County,,,,,Morganton,GA,,735,,4595,4.595,,73.5
,,,,Habersham County,,,,,Mount Airy,GA,,679,,5875,5.875,,67.9
,,,,Hall County,,,,,Murrayville,GA,,472,,3114,3.114,,47.2
,,,,Jackson County,,,,,Nicholson,GA,,650,,4393,4.393,,65
,,,,Hall County,,,,,Oakwood,GA,,1818,,8126,8.126,,181.8
,,,,Jackson County,,,,,Pendergrass,GA,,272,,3269,3.269,,27.2
,,,,Rabun County,,,,,Clayton,GA,,390,,1921,1.921,,39
,,,,White County,,,,,Cleveland,GA,,352,,3701,3.701,,35.2
,,,,Union County,,,,,Suches,GA,,154,,1017,1.017,,15.4
,,,,Rabun County,,,,,Tiger,GA,,492,,2331,2.331,,49.2
,,,,Stephens County,,,,,Toccoa,GA,,4102,,22339,22.339,,410.2
,,,,Towns County,,,,,Young Harris,GA,,787,,5044,5.044,,78.7
,,,,Clarke County,,,,,Athens,GA,,10768,,23794,23.794,,1076.8
,,,,Clarke County,,,,,Athens,GA,,12645,,40956,40.956,,1264.5
,,,,Clarke County,,,,,Athens,GA,,11680,,42338,42.338,,1168
,,,,Clarke County,,,,,Athens,GA,,3588,,11712,11.712,,358.8
,,,,Oglethorpe County,,,,,Arnoldsville,GA,,230,,1286,1.286,,23
,,,,Barrow County,,,,,Bethlehem,GA,,1009,,12891,12.891,,100.9
,,,,Oconee County,,,,,Bishop,GA,,433,,5779,5.779,,43.3
,,,,Oconee County,,,,,Bogart,GA,,1061,,10666,10.666,,106.1
,,,,Elbert County,,,,,Bowman,GA,,787,,3365,3.365,,78.7
,,,,Morgan County,,,,,Buckhead,GA,,232,,2311,2.311,,23.2
,,,,Oglethorpe County,,,,,Carlton,GA,,526,,2430,2.43,,52.6
,,,,Madison County,,,,,Colbert,GA,,580,,7348,7.348,,58
,,,,Madison County,,,,,Comer,GA,,991,,4617,4.617,,99.1
,,,,Oglethorpe County,,,,,Crawford,GA,,264,,2173,2.173,,26.4
,,,,Madison County,,,,,Danielsville,GA,,1958,,8990,8.99,,195.8
,,,,Elbert County,,,,,Dewy Rose,GA,,405,,2097,2.097,,40.5
,,,,Elbert County,,,,,Elberton,GA,,3331,,14720,14.72,,333.1
,,,,Walton County,,,,,Good Hope,GA,,154,,1986,1.986,,15.4
,,,,Greene County,,,,,Greensboro,GA,,2425,,11449,11.449,,242.5
,,,,Hart County,,,,,Hartwell,GA,,2966,,16244,16.244,,296.6
,,,,Madison County,,,,,Hull,GA,,1101,,6226,6.226,,110.1
,,,,Oglethorpe County,,,,,Lexington,GA,,651,,3101,3.101,,65.1
,,,,Morgan County,,,,,Madison,GA,,1560,,11616,11.616,,156
,,,,Walton County,,,,,Monroe,GA,,4281,,24957,24.957,,428.1
,,,,Walton County,,,,,Monroe,GA,,2307,,15700,15.7,,230.7
,,,,Franklin County,,,,,Royston,GA,,1983,,8743,8.743,,198.3
,,,,Morgan County,,,,,Rutledge,GA,,480,,2978,2.978,,48
,,,,Barrow County,,,,,Statham,GA,,812,,10264,10.264,,81.2
,,,,Greene County,,,,,Union Point,GA,,941,,3360,3.36,,94.1
,,,,Oconee County,,,,,Watkinsville,GA,,1076,,18786,18.786,,107.6
,,,,Barrow County,,,,,Winder,GA,,6068,,42196,42.196,,606.8
,,,,Clarke County,,,,,Winterville,GA,,1072,,6420,6.42,,107.2
,,,,Gordon County,,,,,Calhoun,GA,,7295,,40086,40.086,,729.5
,,,,Murray County,,,,,Chatsworth,GA,,5874,,33534,33.534,,587.4
,,,,Walker County,,,,,Chickamauga,GA,,2220,,15335,15.335,,222
,,,,Whitfield County,,,,,Varnell,GA,,1151,,6759,6.759,,115.1
,,,,Murray County,,,,,Crandall,GA,,854,,3454,3.454,,85.4
,,,,Whitfield County,,,,,Dalton,GA,,5175,,28480,28.48,,517.5
,,,,Whitfield County,,,,,Dalton,GA,,11588,,53668,53.668,,1158.8
,,,,Walker County,,,,,Flintstone,GA,,363,,4317,4.317,,36.3
,,,,Walker County,,,,,Lafayette,GA,,3097,,21103,21.103,,309.7
,,,,Chattooga County,,,,,Menlo,GA,,579,,2293,2.293,,57.9
,,,,Gordon County,,,,,Plainville,GA,,436,,2093,2.093,,43.6
,,,,Gordon County,,,,,Ranger,GA,,1055,,3807,3.807,,105.5
,,,,Gordon County,,,,,Industrial,GA,,716,,5880,5.88,,71.6
,,,,Catoosa County,,,,,Ringgold,GA,,3595,,43301,43.301,,359.5
,,,,Dade County,,,,,Rising Fawn,GA,,367,,3509,3.509,,36.7
,,,,Walker County,,,,,Rock Spring,GA,,419,,5821,5.821,,41.9
,,,,Whitfield County,,,,,Rocky Face,GA,,864,,8328,8.328,,86.4
,,,,Walker County,,,,,Fairview,GA,,6320,,29022,29.022,,632
,,,,Catoosa County,,,,,Fort Oglethorpe,GA,,1375,,7778,7.778,,137.5
,,,,Chattooga County,,,,,Summerville,GA,,3030,,15843,15.843,,303
,,,,Walker County,,,,,Lookout Mountain,GA,,602,,4795,4.795,,60.2
,,,,Dade County,,,,,Trenton,GA,,1410,,8426,8.426,,141
,,,,Chattooga County,,,,,Trion,GA,,1394,,7028,7.028,,139.4
,,,,Whitfield County,,,,,Tunnel Hill,GA,,1454,,8749,8.749,,145.4
,,,,Dade County,,,,,Wildwood,GA,,455,,2339,2.339,,45.5
,,,,Columbia County,,,,,Appling,GA,,588,,5753,5.753,,58.8
,,,,McDuffie County,,,,,Dearing,GA,,1145,,4736,4.736,,114.5
,,,,Columbia County,,,,,Evans,GA,,2043,,45453,45.453,,204.3
,,,,Columbia County,,,,,Grovetown,GA,,3822,,41337,41.337,,382.2
,,,,Columbia County,,,,,Harlem,GA,,1513,,7916,7.916,,151.3
,,,,McDuffie County,,,,,Thomson,GA,,4358,,16733,16.733,,435.8
,,,,Burke County,,,,,Waynesboro,GA,,4315,,14105,14.105,,431.5
,,,,Columbia County,,,,,Martinez,GA,,5478,,51767,51.767,,547.8
,,,,Houston County,,,,,Bonaire,GA,,2241,,17524,17.524,,224.1
,,,,Peach County,,,,,Byron,GA,,2015,,18184,18.184,,201.5
,,,,Laurens County,,,,,Dublin,GA,,7146,,27710,27.71,,714.6
,,,,Putnam County,,,,,Eatonton,GA,,3365,,20334,20.334,,336.5
,,,,Laurens County,,,,,East Dublin,GA,,3048,,9292,9.292,,304.8
,,,,Houston County,,,,,Centerville,GA,,433,,6137,6.137,,43.3
,,,,Monroe County,,,,,Forsyth,GA,,2687,,16787,16.787,,268.7
,,,,Peach County,,,,,Fort Valley,GA,,3866,,17994,17.994,,386.6
,,,,Jones County,,,,,Gray,GA,,1373,,14275,14.275,,137.3
,,,,Jones County,,,,,Haddock,GA,,487,,2190,2.19,,48.7
,,,,Monroe County,,,,,Juliette,GA,,446,,3064,3.064,,44.6
,,,,Bibb County,,,,,Lizella,GA,,630,,8678,8.678,,63
,,,,Baldwin County,,,,,Milledgeville,GA,,11225,,44209,44.209,,1122.5
,,,,Jasper County,,,,,Monticello,GA,,1794,,9250,9.25,,179.4
,,,,Houston County,,,,,Perry,GA,,3027,,20192,20.192,,302.7
,,,,Houston County,,,,,Warner Robins,GA,,9000,,51994,51.994,,900
,,,,Houston County,,,,,Warner Robins,GA,,8147,,30510,30.51,,814.7
,,,,Upson County,,,,,Yatesville,GA,,144,,1522,1.522,,14.4
,,,,Bibb County,,,,,Macon,GA,,10201,,29822,29.822,,1020.1
,,,,Bibb County,,,,,Macon,GA,,3982,,34216,34.216,,398.2
,,,,Bibb County,,,,,Macon,GA,,4264,,16278,16.278,,426.4
,,,,Bibb County,,,,,Macon,GA,,2317,,16391,16.391,,231.7
,,,,Bibb County,,,,,Macon,GA,,5104,,17558,17.558,,510.4
,,,,Bibb County,,,,,Macon,GA,,1254,,13950,13.95,,125.4
,,,,Effingham County,,,,,Bloomingdale,GA,,1269,,8351,8.351,,126.9
,,,,Bryan County,,,,,Ellabell,GA,,960,,7353,7.353,,96
,,,,Effingham County,,,,,Guyton,GA,,1626,,18454,18.454,,162.6
,,,,Liberty County,,,,,Hinesville,GA,,6632,,40890,40.89,,663.2
,,,,Long County,,,,,Ludowici,GA,,2615,,12533,12.533,,261.5
,,,,Liberty County,,,,,Midway,GA,,1300,,8032,8.032,,130
,,,,Bryan County,,,,,Pembroke,GA,,1853,,7124,7.124,,185.3
,,,,Chatham County,,,,,Pooler,GA,,1736,,25112,25.112,,173.6
,,,,Bryan County,,,,,Richmond Hill,GA,,2887,,24643,24.643,,288.7
,,,,Effingham County,,,,,Rincon,GA,,1829,,20317,20.317,,182.9
,,,,Chatham County,,,,,Tybee Island,GA,,470,,3550,3.55,,47
,,,,Effingham County,,,,,Springfield,GA,,898,,9451,9.451,,89.8
,,,,Chatham County,,,,,Savannah,GA,,6637,,20172,20.172,,663.7
,,,,Chatham County,,,,,Savannah,GA,,7755,,31594,31.594,,775.5
,,,,Chatham County,,,,,Savannah,GA,,7267,,37466,37.466,,726.7
,,,,Chatham County,,,,,Savannah,GA,,5658,,35739,35.739,,565.8
,,,,Chatham County,,,,,Port Wentworth,GA,,391,,13057,13.057,,39.1
,,,,Chatham County,,,,,Garden City,GA,,2259,,10947,10.947,,225.9
,,,,Chatham County,,,,,Wilmington Island,GA,,1524,,24363,24.363,,152.4
,,,,Chatham County,,,,,Skidaway Island,GA,,340,,8328,8.328,,34
,,,,Chatham County,,,,,Savannah,GA,,8389,,58018,58.018,,838.9
,,,,Ware County,,,,,Waycross,GA,,3416,,14931,14.931,,341.6
,,,,Ware County,,,,,Waycross,GA,,5103,,20748,20.748,,510.3
,,,,Pierce County,,,,,Blackshear,GA,,3202,,14328,14.328,,320.2
,,,,Coffee County,,,,,Broxton,GA,,543,,3179,3.179,,54.3
,,,,Glynn County,,,,,Brunswick,GA,,7628,,22950,22.95,,762.8
,,,,Glynn County,,,,,Saint Simons Island,GA,,773,,16201,16.201,,77.3
,,,,Glynn County,,,,,Brunswick,GA,,1298,,13802,13.802,,129.8
,,,,Glynn County,,,,,Brunswick,GA,,5841,,29614,29.614,,584.1
,,,,Coffee County,,,,,Douglas,GA,,4770,,16629,16.629,,477
,,,,Coffee County,,,,,Douglas,GA,,2556,,12351,12.351,,255.6
,,,,Wayne County,,,,,Jesup,GA,,3531,,16474,16.474,,353.1
,,,,Wayne County,,,,,Jesup,GA,,1543,,8020,8.02,,154.3
,,,,Camden County,,,,,Kingsland,GA,,2464,,20613,20.613,,246.4
,,,,Coffee County,,,,,Nicholls,GA,,1092,,8313,8.313,,109.2
,,,,Wayne County,,,,,Odum,GA,,347,,2801,2.801,,34.7
,,,,Pierce County,,,,,Patterson,GA,,421,,2994,2.994,,42.1
,,,,Camden County,,,,,Saint Marys,GA,,2780,,21217,21.217,,278
,,,,Wayne County,,,,,Screven,GA,,367,,2431,2.431,,36.7
,,,,Camden County,,,,,Waverly,GA,,117,,1945,1.945,,11.7
,,,,Camden County,,,,,Woodbine,GA,,832,,5922,5.922,,83.2
,,,,Lowndes County,,,,,Valdosta,GA,,13193,,33607,33.607,,1319.3
,,,,Lowndes County,,,,,Valdosta,GA,,7382,,35141,35.141,,738.2
,,,,Lowndes County,,,,,Valdosta,GA,,3373,,21818,21.818,,337.3
,,,,Lowndes County,,,,,Valdosta,GA,,957,,4115,4.115,,95.7
,,,,Thomas County,,,,,Boston,GA,,730,,3176,3.176,,73
,,,,Lowndes County,,,,,Hahira,GA,,1429,,12469,12.469,,142.9
,,,,Lowndes County,,,,,Lake Park,GA,,2081,,10011,10.011,,208.1
,,,,Berrien County,,,,,Nashville,GA,,1928,,10276,10.276,,192.8
,,,,Brooks County,,,,,Quitman,GA,,2313,,8539,8.539,,231.3
,,,,Berrien County,,,,,Ray City,GA,,1711,,5531,5.531,,171.1
,,,,Dougherty County,,,,,Albany,GA,,7365,,19007,19.007,,736.5
,,,,Dougherty County,,,,,Albany,GA,,12233,,33118,33.118,,1223.3
,,,,Dougherty County,,,,,Albany,GA,,6439,,25357,25.357,,643.9
,,,,Sumter County,,,,,Americus,GA,,5138,,16035,16.035,,513.8
,,,,Sumter County,,,,,Americus,GA,,3334,,9369,9.369,,333.4
,,,,Colquitt County,,,,,Doerun,GA,,602,,2716,2.716,,60.2
,,,,Thomas County,,,,,Thomasville,GA,,969,,10530,10.53,,96.9
,,,,Lee County,,,,,Leesburg,GA,,2899,,24607,24.607,,289.9
,,,,Thomas County,,,,,Meigs,GA,,552,,2887,2.887,,55.2
,,,,Colquitt County,,,,,Moultrie,GA,,6607,,23240,23.24,,660.7
,,,,Colquitt County,,,,,Norman Park,GA,,1167,,6580,6.58,,116.7
,,,,Thomas County,,,,,Ochlocknee,GA,,871,,3371,3.371,,87.1
,,,,Colquitt County,,,,,Moultrie,GA,,2726,,10133,10.133,,272.6
,,,,Thomas County,,,,,Thomasville,GA,,5213,,24719,24.719,,521.3
,,,,Tift County,,,,,Tifton,GA,,1472,,10973,10.973,,147.2
,,,,Tift County,,,,,Tifton,GA,,8113,,25524,25.524,,811.3
,,,,Harris County,,,,,Cataula,GA,,346,,5977,5.977,,34.6
,,,,Harris County,,,,,Ellerslie,GA,,127,,3292,3.292,,12.7
,,,,Muscogee County,,,,,Columbus,GA,,468,,7099,7.099,,46.8
,,,,Harris County,,,,,Hamilton,GA,,356,,6022,6.022,,35.6
,,,,Meriwether County,,,,,Manchester,GA,,1551,,5233,5.233,,155.1
,,,,Muscogee County,,,,,Midland,GA,,357,,10038,10.038,,35.7
,,,,Harris County,,,,,Pine Mountain,GA,,739,,5814,5.814,,73.9
,,,,Harris County,,,,,Waverly Hall,GA,,0,,861,0.861,,0
,,,,Meriwether County,,,,,Warm Springs,GA,,923,,2882,2.882,,92.3
,,,,Harris County,,,,,Waverly Hall,GA,,341,,3558,3.558,,34.1
,,,,Troup County,,,,,West Point,GA,,1164,,6848,6.848,,116.4
,,,,Muscogee County,,,,,Columbus,GA,,7237,,34387,34.387,,723.7
,,,,Muscogee County,,,,,Columbus,GA,,6898,,21777,21.777,,689.8
,,,,Muscogee County,,,,,Columbus,GA,,10828,,56573,56.573,,1082.8
,,,,Muscogee County,,,,,Columbus,GA,,4619,,38202,38.202,,461.9
,,,,Clay County,,,,,Fleming Island,FL,,873,,29163,29.163,,87.3
,,,,Suwannee County,,,,,Branford,FL,,766,,4808,4.808,,76.6
,,,,Nassau County,,,,,Bryceville,FL,,313,,3647,3.647,,31.3
,,,,Nassau County,,,,,Callahan,FL,,1492,,14446,14.446,,149.2
,,,,Columbia County,,,,,Lake City,FL,,2643,,19479,19.479,,264.3
,,,,Columbia County,,,,,Lake City,FL,,2002,,22427,22.427,,200.2
,,,,Saint Johns County,,,,,Elkton,FL,,1077,,4683,4.683,,107.7
,,,,Nassau County,,,,,Fernandina Beach,FL,,4061,,33695,33.695,,406.1
,,,,Columbia County,,,,,Fort White,FL,,1564,,9891,9.891,,156.4
,,,,Baker County,,,,,Glen Saint Mary,FL,,1352,,7553,7.553,,135.2
,,,,Clay County,,,,,Green Cove Springs,FL,,2730,,24381,24.381,,273
,,,,Nassau County,,,,,Hilliard,FL,,1269,,9070,9.07,,126.9
,,,,Columbia County,,,,,Lake City,FL,,4355,,16851,16.851,,435.5
,,,,Suwannee County,,,,,Live Oak,FL,,5155,,23702,23.702,,515.5
,,,,Baker County,,,,,Macclenny,FL,,2086,,14081,14.081,,208.6
,,,,Suwannee County,,,,,Live Oak,FL,,1460,,6782,6.782,,146
,,,,Clay County,,,,,Orange Park,FL,,3538,,37734,37.734,,353.8
,,,,Clay County,,,,,Middleburg,FL,,6748,,54614,54.614,,674.8
,,,,Clay County,,,,,Orange Park,FL,,4546,,40139,40.139,,454.6
,,,,Saint Johns County,,,,,Saint Augustine,FL,,2722,,22349,22.349,,272.2
,,,,Saint Johns County,,,,,Ponte Vedra,FL,,148,,11634,11.634,,14.8
,,,,Saint Johns County,,,,,Ponte Vedra Beach,FL,,1508,,29726,29.726,,150.8
,,,,Saint Johns County,,,,,Saint Augustine,FL,,5956,,34187,34.187,,595.6
,,,,Saint Johns County,,,,,Saint Augustine,FL,,2923,,28244,28.244,,292.3
,,,,Baker County,,,,,Sanderson,FL,,812,,5551,5.551,,81.2
,,,,Bradford County,,,,,Starke,FL,,2627,,14829,14.829,,262.7
,,,,Saint Johns County,,,,,Saint Augustine,FL,,1906,,33562,33.562,,190.6
,,,,Saint Johns County,,,,,Saint Augustine,FL,,599,,8543,8.543,,59.9
,,,,Nassau County,,,,,Yulee,FL,,1731,,17515,17.515,,173.1
,,,,Lake County,,,,,Astor,FL,,537,,2178,2.178,,53.7
,,,,Flagler County,,,,,Bunnell,FL,,1754,,7803,7.803,,175.4
,,,,Putnam County,,,,,Crescent City,FL,,2390,,8043,8.043,,239
,,,,Marion County,,,,,Citra,FL,,1343,,5365,5.365,,134.3
,,,,Volusia County,,,,,Daytona Beach,FL,,10654,,32087,32.087,,1065.4
,,,,Volusia County,,,,,Holly Hill,FL,,6094,,24566,24.566,,609.4
,,,,Volusia County,,,,,Daytona Beach,FL,,2594,,16853,16.853,,259.4
,,,,Volusia County,,,,,South Daytona,FL,,4290,,22470,22.47,,429
,,,,Volusia County,,,,,Daytona Beach,FL,,728,,5832,5.832,,72.8
,,,,Volusia County,,,,,Port Orange,FL,,4031,,30128,30.128,,403.1
,,,,Volusia County,,,,,Port Orange,FL,,2158,,19285,19.285,,215.8
,,,,Volusia County,,,,,Port Orange,FL,,3648,,21574,21.574,,364.8
,,,,Volusia County,,,,,De Leon Springs,FL,,1512,,5837,5.837,,151.2
,,,,Putnam County,,,,,East Palatka,FL,,776,,4816,4.816,,77.6
,,,,Volusia County,,,,,Edgewater,FL,,960,,7341,7.341,,96
,,,,Flagler County,,,,,Flagler Beach,FL,,593,,7842,7.842,,59.3
,,,,Flagler County,,,,,Palm Coast,FL,,4761,,41496,41.496,,476.1
